Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 77.0.3865.120,,,2019-10-28 11:50:02,2019-10-28 11:50:41,38.622s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 77.0.3865.120,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2019-10-28 11:50:03,2019-10-28 11:50:19,16.006s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 77.0.3865.120,,,2019-10-28 11:50:04,2019-10-28 11:50:04,0.111s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 77.0.3865.120,,,2019-10-28 11:50:04,2019-10-28 11:50:04,0.024s,PASSED
openBrowser(G_SiteURL),Chrome 77.0.3865.120,,,2019-10-28 11:50:04,2019-10-28 11:50:11,7.501s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 77.0.3865.120,,,2019-10-28 11:50:11,2019-10-28 11:50:12,1.115s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 77.0.3865.120,,,2019-10-28 11:50:12,2019-10-28 11:50:13,1.063s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 77.0.3865.120,,,2019-10-28 11:50:13,2019-10-28 11:50:14,0.753s,PASSED
"comment(""When he logins to CURA system"")",Chrome 77.0.3865.120,,,2019-10-28 11:50:14,2019-10-28 11:50:14,0.016s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 77.0.3865.120,,,2019-10-28 11:50:14,2019-10-28 11:50:15,0.877s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 77.0.3865.120,,,2019-10-28 11:50:15,2019-10-28 11:50:15,0.008s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 77.0.3865.120,,,2019-10-28 11:50:15,2019-10-28 11:50:16,0.491s,PASSED
closeBrowser(),Chrome 77.0.3865.120,,,2019-10-28 11:50:16,2019-10-28 11:50:17,1.124s,PASSED
Start listener action : sampleAfterTestCase,Chrome 77.0.3865.120,,,2019-10-28 11:50:17,2019-10-28 11:50:17,0.009s,PASSED
Video,Chrome 77.0.3865.120,,,2019-10-28 11:50:19,2019-10-28 11:50:19,0.001s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 77.0.3865.120,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2019-10-28 11:50:19,2019-10-28 11:50:41,22.072s,PASSED
"comment(""Story: Book an appointment"")",Chrome 77.0.3865.120,,,2019-10-28 11:50:19,2019-10-28 11:50:19,0.011s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 77.0.3865.120,,,2019-10-28 11:50:19,2019-10-28 11:50:19,0.007s,PASSED
openBrowser(G_SiteURL),Chrome 77.0.3865.120,,,2019-10-28 11:50:19,2019-10-28 11:50:23,3.837s,PASSED
"callTestCase(findTestCase(""Common Test Cases/Login""), [""Username"":""John Doe"", ""Password"":""ThisIsNotAPassword""], STOP_ON_FAILURE)",Chrome 77.0.3865.120,,,2019-10-28 11:50:23,2019-10-28 11:50:29,5.927s,PASSED
"comment(""And Appointment page is displayed"")",Chrome 77.0.3865.120,,,2019-10-28 11:50:29,2019-10-28 11:50:29,0.007s,PASSED
if (true),Chrome 77.0.3865.120,,,2019-10-28 11:50:29,2019-10-28 11:50:34,4.934s,PASSED
"comment(""When he fills in valid information in Appointment page"")",Chrome 77.0.3865.120,,,2019-10-28 11:50:34,2019-10-28 11:50:34,0.008s,PASSED
"click(findTestObject(""Page_CuraAppointment/btn_BookAppointment""))",Chrome 77.0.3865.120,,,2019-10-28 11:50:34,2019-10-28 11:50:35,0.781s,PASSED
"verifyTextPresent(""Appointment Confirmation"", false)",Chrome 77.0.3865.120,,,2019-10-28 11:50:35,2019-10-28 11:50:35,0.419s,PASSED
"comment(""Then he should be able to book a new appointment"")",Chrome 77.0.3865.120,,,2019-10-28 11:50:35,2019-10-28 11:50:35,0.008s,PASSED
if (true),Chrome 77.0.3865.120,,,2019-10-28 11:50:35,2019-10-28 11:50:37,2.183s,PASSED
takeScreenshot(),Chrome 77.0.3865.120,,,2019-10-28 11:50:37,2019-10-28 11:50:38,0.477s,PASSED
closeBrowser(),Chrome 77.0.3865.120,,,2019-10-28 11:50:38,2019-10-28 11:50:39,1.137s,PASSED
Start listener action : sampleAfterTestCase,Chrome 77.0.3865.120,,,2019-10-28 11:50:39,2019-10-28 11:50:39,0.001s,PASSED
Video,Chrome 77.0.3865.120,,,2019-10-28 11:50:41,2019-10-28 11:50:41,0.001s,PASSED
